ticker,name,market,fund_type,is_leveraged_inverse,issuer,tracked_index,inception_date,listing_date,data_start_date,category_raw,twse_levinv_flag,units_issued,full_name,en_name,source
00692,富邦公司治理,TWSE,passive_equity,False,黃昭棠,臺灣證券交易所公司治理100指數,2017-05-04,2017-05-17,2024-01-01,國內成分證券指數股票型基金,否,620280000,富邦臺灣公司治理100證券投資信託基金,Fubon TWSE Corporate Governance 100 ETF,twse_opendata
00693U,期街口S&amp;P黃豆,TWSE,commodity,False,方詳棋,標普高盛黃豆ER指數(S&amp;P GSCI Soybeans ER Index),2017-04-17,2017-04-25,2024-01-01,指數股票型期貨信託基金,是,99166000,街口標普高盛黃豆ER指數股票型期貨信託基金,JKO S&amp;P GSCI Soybeans ER Futures ETF,twse_opendata
00694B,富邦美債1-3,TPEx,bond,False,富邦,彭博1-3年期美國公債指數,2017-06-08,2017-06-15,2024-01-01,債券型,,,富邦美債1-3,,tpex_seed
00695B,富邦美債7-10,TPEx,bond,False,富邦,彭博7-10年期美國公債指數,2017-06-08,2017-06-15,2024-01-01,債券型,,,富邦美債7-10,,tpex_seed
00696B,富邦美債20年,TPEx,bond,False,富邦,彭博20年期(以上)美國公債指數,2017-06-08,2017-06-15,2024-01-01,債券型,,,富邦美債20年,,tpex_seed
00697B,元大美債7-10,TPEx,bond,False,元大,ICE 7-10年期美國公債指數,2017-06-23,2017-06-29,2024-01-01,債券型,,,元大美債7-10,,tpex_seed
00698L,元大美債7-10正2,TWSE,leveraged,True,黃古彬,ICE美國政府7-10年期債券2倍槓桿指數,2017-06-15,2017-06-23,2024-01-01,槓桿/反向指數股票型基金,是,1149000,元大美國政府7至10年期債券ETF傘型證券投資信託基金之元大美國政府7至10年期債券單日正向2倍證券投資信託基金,Yuanta Daily U.S. Treasury 7-10 Year Bond Bull 2X ETF,twse_opendata
00699R,元大美債7-10反1,TWSE,leveraged,True,黃古彬,ICE美國政府7-10年期債券1倍反向指數,2017-06-15,2017-06-23,2024-01-01,槓桿/反向指數股票型基金,是,714000,元大美國政府7至10年期債券ETF傘型證券投資信託基金之元大美國政府7至10年期債券單日反向1倍證券投資信託基金,Yuanta Daily U.S. Treasury 7-10 Year Bond Bear 1X ETF,twse_opendata
00700,富邦恒生國企,TWSE,passive_equity,False,黃昭棠,恒生中國企業指數,2017-07-21,2017-07-28,2024-01-01,國外成分證券指數股票型基金,是,35983000,富邦恒生國企ETF證券投資信託基金,Fubon Hang Seng China Enterprises  ETF,twse_opendata
00701,國泰臺灣低波動股利精選30基金,TWSE,passive_equity,False,李偉正,臺灣指數公司低波動精選30指數,2017-08-09,2017-08-17,2024-01-01,國內成分證券指數股票型基金,否,181391000,國泰低波動ETF傘型證券投資信託基金之臺灣低波動股利精選30證券投資信託基金,Cathay TIP TAIEX +Low Volatility Select 30 ETF,twse_opendata
00702,國泰標普低波高息,TWSE,passive_equity,False,李偉正,標普500低波動高股息指數,2017-08-09,2017-08-17,2024-01-01,國外成分證券指數股票型基金,是,6688000,國泰低波動ETF傘型證券投資信託基金之美國標普500低波動高股息證券投資信託基金,Cathay S&amp;P 500 Low Volatility High,twse_opendata
00703,台新MSCI中國,TWSE,passive_equity,False,賴昭吟,MSCI中國指數,2017-08-02,2017-08-10,2024-01-01,國外成分證券指數股票型基金,是,10050000,台新MSCI新興市場國家傘型ETF證券投資信託基金之台新MSCI中國證券投資信託基金,Taishin MSCI China ETF,twse_opendata
00704L,台新MSCI台灣正2,TWSE,leveraged,True,賴昭吟,MSCI台灣正向2倍指數,2017-08-02,2017-08-10,2024-01-01,槓桿/反向指數股票型基金,否,1378000,台新MSCI新興市場國家傘型ETF證券投資信託基金之台新MSCI台灣單日正向2倍證券投資信託基金,Taishin MSCI Taiwan Daily Leveraged 2X ETF,twse_opendata
00705R,台新MSCI台灣反1,TWSE,leveraged,True,賴昭吟,MSCI台灣反向1倍指數,2017-08-02,2017-08-10,2024-01-01,槓桿/反向指數股票型基金,否,1815000,台新MSCI新興市場國家傘型ETF證券投資信託基金之台新MSCI台灣單日反向1倍證券投資信託基金,Taishin MSCI Taiwan Daily Inverse ETF,twse_opendata
00706L,期元大S&amp;P日圓正2(原名：元大S&amp;P日圓正2),TWSE,leveraged,True,劉宗聖,標普日圓期貨日報酬正向2倍ER指數,2017-08-23,2017-09-01,2024-01-01,槓桿/反向指數股票型基金,是,158270853,元大標普金日傘型期貨信託基金之元大標普日圓ER單日正向2倍指數股票型期貨信託基金,Yuanta S&amp;P Japanese Yen 2x Leverage ER Futures ETF,twse_opendata
00707R,期元大S&amp;P日圓反1(原名：元大S&amp;P日圓反1),TWSE,leveraged,True,劉宗聖,標普日圓期貨日報酬反向1倍ER指數,2017-08-23,2017-09-01,2024-01-01,槓桿/反向指數股票型基金,是,5855000,元大標普金日傘型期貨信託基金之元大標普日圓ER單日反向1倍指數股票型期貨信託基金,Yuanta S&amp;P Japanese Yen 1x Inverse ER Futures ETF,twse_opendata
00708L,期元大S&amp;P黃金正2(原名：元大S&amp;P黃金正2),TWSE,leveraged,True,劉宗聖,標普高盛黃金日報酬正向兩倍ER指數,2017-08-23,2017-09-01,2024-01-01,槓桿/反向指數股票型基金,是,111073000,元大標普金日傘型期貨信託基金之元大標普高盛黃金ER單日正向2倍指數股票型期貨信託基金,Yuanta S&amp;P GSCI Gold 2x Leveraged ER Futures ETF,twse_opendata
